seed,switch_idx,client_id,n_c,F_local,baseline_loss,loss_i_on_local_j,lambda_G,lambda_L,delta_G_sq,delta_P_sq,delta_L_sq,cos_G_P,B_G,B_P,B_L,local_i_steps,local_j_steps,F_global
1.0,1.0,6.0,942.0,0.32474472631286705,0.0018386656877615898,0.32658339200062864,5.002445697784424,1.7152037620544434,44.838157653808594,2.5137836933135986,48.091949462890625,0.034854042811497406,112.15022442593727,2.1558256238812987,41.24374632164108,11.0,10.0,0.31844073599309386
1.0,1.0,7.0,951.0,0.3414809674869282,0.001105804230157444,0.3425867717170856,5.002445697784424,1.1705527305603027,44.838157653808594,3.3173699378967285,48.828067779541016,0.02757455538229459,112.15022442593727,1.9415782195418387,28.577914033662637,12.0,12.0,0.31844073599309386
1.0,1.0,2.0,1222.0,0.09201373640335472,0.001301477367202266,0.09331521377055699,5.002445697784424,2.7709097862243652,44.838157653808594,0.7904931306838989,45.55585861206055,-0.006114295098372105,112.15022442593727,1.0951925758775758,63.11558722400605,7.0,6.0,0.31844073599309386
1.0,1.0,4.0,1437.0,0.4482779063811218,0.0010320983436394675,0.4493100047247613,5.002445697784424,1.9582531452178955,44.838157653808594,2.5572876930236816,48.2718505859375,0.040926579673920604,112.15022442593727,2.5039083340453203,47.26425161770021,11.0,9.0,0.31844073599309386
1.0,1.0,3.0,1905.0,0.06770188854797224,0.00094799746717528,0.06864988601514752,5.002445697784424,0.3110356330871582,44.838157653808594,0.9275302886962891,45.69852066040039,-0.00520772057654518,112.15022442593727,0.14424748527608244,7.106934152377107,7.0,6.0,0.31844073599309386
1.0,1.0,0.0,1972.0,0.30592173352232715,0.0014205816563093725,0.3073423151786365,5.002445697784424,2.3637118339538574,44.838157653808594,2.702955484390259,48.80732345581055,0.05751466283281823,112.15022442593727,3.194503932551868,57.683224018056535,9.0,8.0,0.31844073599309386
1.0,1.0,5.0,4641.0,0.04444362979598875,0.000616974623251895,0.045060604419240646,5.002445697784424,0.5157397985458374,44.838157653808594,0.4612649381160736,45.51947784423828,0.024195770114378453,112.15022442593727,0.11894634313012098,11.73810316664958,6.0,6.0,0.31844073599309386
1.0,2.0,1.0,374.0,8.835653467071623,0.0013429174113478313,8.83699638448297,4.71045446395874,1.026648759841919,36.4611930847168,0.9478335976600647,37.88443374633789,0.04043812791777699,85.87439486358289,0.4865460937871049,19.44700346149557,11.0,6.0,2.2951926792132338
1.0,2.0,6.0,942.0,2.2041114687137835,0.001025411280068418,2.205136879993852,4.71045446395874,0.8950917720794678,36.4611930847168,2.082732915878296,38.465476989746094,-0.004501401555290499,85.87439486358289,0.9321185482208705,17.21506598131691,11.0,7.0,2.2951926792132338
1.0,2.0,7.0,951.0,8.175000452171435,0.0010347138660107655,8.176035166037446,4.71045446395874,1.1701226234436035,36.4611930847168,1.5937366485595703,38.596073150634766,0.03549817527118349,85.87439486358289,0.9324336541453704,22.58106918482099,9.0,6.0,2.2951926792132338
1.0,2.0,2.0,1222.0,9.748209681341661,0.0008175614905525161,9.749027242832215,4.71045446395874,0.4135582447052002,36.4611930847168,0.7545340061187744,37.36149597167969,0.013896885499155772,85.87439486358289,0.15602187957043157,7.72557734680413,6.0,6.0,2.2951926792132338
1.0,2.0,4.0,1437.0,5.889440400872576,0.0014512509791549991,5.890891651851731,4.71045446395874,1.4166089296340942,36.4611930847168,1.5811556577682495,38.27311325073242,0.015198072743357162,85.87439486358289,1.119939611967986,27.109016997942263,7.0,7.0,2.2951926792132338
