exp_code,global_round,lambda_max,opt_drift
A,358,269.2106170654297,14.041965289600508
A,359,250.6666473388672,14.044828786211257
A,360,246.3693054199219,14.04766720626622
A,361,213.2996368408203,14.050479825233106
A,362,256.3161865234375,14.053268135649052
A,363,276.51006774902345,14.056031034077783
A,364,239.06266174316409,14.05878453391555
A,365,246.1751251220703,14.061503620347008
A,366,243.64073486328124,14.064203891842292
A,367,221.19244689941405,14.066885283496012
A,368,301.4574829101563,14.06955078590075
A,369,242.9313995361328,14.072196635726408
A,370,234.1159118652344,14.07482711330513
A,371,245.8292999267578,14.077440984559402
A,372,252.267529296875,14.080036823129053
A,373,265.6601196289063,14.082615524636209
A,374,271.2752868652344,14.085173988701392
A,375,244.34418029785155,14.087705883600796
A,376,230.9766845703125,14.090216422063609
A,377,248.9445251464844,14.092710171168209
A,378,296.7289184570312,14.095186374426897
A,379,229.35896911621091,14.097646223335792
A,380,268.44036254882815,14.100086273845044
A,381,238.91188354492184,14.102510986765097
A,382,237.42637939453124,14.104916769091137
A,383,302.6751770019531,14.107303908836004
A,384,264.89928283691404,14.109672356320472
A,385,230.07931823730468,14.112021134727046
A,386,265.13099975585936,14.114351639013126
A,387,250.7106506347656,14.116663080744289
A,388,284.5056579589844,14.11895655212432
A,389,271.9516540527344,14.12123212997148
A,390,260.463427734375,14.123489180929385
A,391,225.80159606933597,14.125727911671708
A,392,274.91944580078126,14.127948780222262
A,393,294.2721527099609,14.130152799476338
A,394,250.10877075195316,14.132338094155871
A,395,269.9107299804688,14.134507528354664
A,396,257.07056884765626,14.13666135286694
A,397,237.07301635742184,14.138799385647763
A,398,322.0223999023437,14.140920263969775
A,399,262.9378723144531,14.143024872676552
A,400,245.75658569335937,14.145129573296142
A,401,239.90511779785157,8.460611120092711
A,402,12.977646350860596,10.929110669588788
A,403,35.2803918838501,11.116573897826719
A,404,39.59991264343262,11.25030086473827
A,405,41.781005859375,11.387948870235153
A,406,43.67981719970703,11.534821820198626
A,407,42.6059268951416,11.693903776577432
A,408,44.596862411499025,11.85633902517633
A,409,54.09623298645019,12.026397092628276
A,410,58.99301033020019,12.199689104115265
A,411,61.33078460693359,12.366488456286636
A,412,69.15821838378906,12.539962607019234
A,413,49.629330444335935,12.70871780607708
A,414,69.41229248046875,12.879048132780518
A,415,60.250614166259766,13.02218104682496
A,416,61.35923843383789,13.156486299264893
A,417,61.16400871276855,13.278957579598593
A,418,82.93304939270018,13.393548003184335
A,419,58.405467605590815,13.51550622275955
A,420,67.41714057922363,13.630435620619327
A,421,72.88904647827148,13.73189584692927
A,422,79.60055389404297,13.838702967306183
A,423,73.62192459106446,13.932212525587394
A,424,106.04113502502442,14.01906574898072
A,425,72.40617866516114,14.099520610712636
A,426,110.33686065673828,14.17168371265048
A,427,90.62304306030273,14.240663311858972
A,428,103.48471603393554,14.300675136675878
A,429,88.32719802856445,14.35312152527023
A,430,137.38485946655274,14.401333808942423
A,431,99.71083450317383,14.446983603004142
A,432,142.21418533325198,14.491298847577099
A,433,125.3334114074707,14.52857146622723
A,434,157.90496139526368,14.56576105047022
A,435,111.64245376586913,14.599951944122349
A,436,148.90324859619142,14.633947460422213
A,437,118.56223068237304,14.663965667513693
A,438,164.00409469604492,14.698463150049761
A,439,109.1562957763672,14.737604272116286
A,440,129.81382980346677,14.7766529638143
A,441,100.57770462036132,14.822443847890648
A,442,176.14674072265626,14.861885746701674
A,443,103.0599479675293,14.897886668600385
A,444,131.88205032348634,14.929848485771242
A,445,135.57102661132814,14.959315771584674
A,446,169.46851806640623,14.984164016369302
A,447,115.95050506591797,15.007778882376769
A,448,173.0488334655762,15.028933860949081
A,449,126.3071937561035,15.04834364162989
A,450,147.38662033081056,15.066303494315896
A,451,154.42798614501953,15.083090465917628
A,452,152.78773727416993,15.098792830164303
A,453,142.6411231994629,15.11355986174702
